symbols
[
%>%
c()
(
.
==
&
&&
|
||
!
T
F
0
1
+
<-
=
df
{
$
NA
%%
```
#
<=
r
Inf
aes()
is.na
na.rm
seq()
rep()
]
}
)
r
<3
:
%in%
[
